mean reward at round 248:119.29233182883932
mean reward at round 249:115.97296431671928
mean reward at round 250:117.72802531771748
mean reward at round 251:116.50709064798669
mean reward at round 252:117.43831789107564
mean reward at round 253:113.04051616356905
mean reward at round 254:115.01819735326555
mean reward at round 255:115.45040948235304
mean reward at round 256:119.88485129105388
mean reward at round 257:115.72450570996381
mean reward at round 258:115.53209721285002
mean reward at round 259:115.55217484022648
mean reward at round 260:119.99706808632139
mean reward at round 261:121.2393259317927
mean reward at round 262:116.27682066460814
mean reward at round 263:114.31666966116858
mean reward at round 264:114.12840852961722
mean reward at round 265:118.19486408151653
mean reward at round 266:122.15787918255187
mean reward at round 267:117.83026614209511
mean reward at round 268:121.0414878594757
mean reward at round 269:108.0271911512074
mean reward at round 270:111.0931410816028
mean reward at round 271:117.2973149292917
mean reward at round 272:110.77607745054837
mean reward at round 273:106.1238099590451
mean reward at round 274:111.7620028374398
mean reward at round 275:116.71868983956684
mean reward at round 276:110.44631056418811
mean reward at round 277:113.73032611582234
mean reward at round 278:113.14298787856072
mean reward at round 279:113.17296154832944
mean reward at round 280:116.51840668609789
mean reward at round 281:117.9846127592646
mean reward at round 282:111.44906968003721
mean reward at round 283:114.39596462366498
mean reward at round 284:110.2081388464088
mean reward at round 285:111.12539111678613
mean reward at round 286:114.15610135163003
mean reward at round 287:109.90264994812419
mean reward at round 288:116.87451462004377
mean reward at round 289:109.53718586932364
mean reward at round 290:116.92645500060785
mean reward at round 291:112.89526735569089
mean reward at round 292:113.14484897966999
mean reward at round 293:107.41852219034229
mean reward at round 294:115.03150287916625
mean reward at round 295:113.47849483465335
mean reward at round 296:111.17842652431031
mean reward at round 297:98.19846118455624
mean reward at round 298:104.62753390781666
mean reward at round 299:102.12793511967018
mean reward at round 300:106.65841936481277
mean reward at round 301:107.02190251511425
mean reward at round 302:108.56227840051251
mean reward at round 303:104.24002990519838
mean reward at round 304:113.37500297101721
mean reward at round 305:108.02668021853609
mean reward at round 306:108.09854030491992
mean reward at round 307:112.12119751551046
mean reward at round 308:114.73277973568224
mean reward at round 309:112.20347345716898
mean reward at round 310:115.98461400898287
mean reward at round 311:119.29877867302983
mean reward at round 312:124.31135949352775
mean reward at round 313:119.75148613505797
mean reward at round 314:114.6159638316942
mean reward at round 315:124.15759724127507
mean reward at round 316:121.25358536662362
mean reward at round 317:115.47968946981017
mean reward at round 318:118.28997978113165
mean reward at round 319:123.37215987122981
mean reward at round 320:113.95274041282222
mean reward at round 321:118.4614849725853
mean reward at round 322:107.39261718864206
mean reward at round 323:111.91421106181168
mean reward at round 324:115.80763529281425
mean reward at round 325:112.61872156246157
mean reward at round 326:113.37885524461211
mean reward at round 327:119.51074261634703
mean reward at round 328:113.03016565680267
mean reward at round 329:113.1886762321469
mean reward at round 330:112.53727298292401
mean reward at round 331:117.92397558466908
mean reward at round 332:109.9623524824968
mean reward at round 333:117.71807746250144
mean reward at round 334:128.18901222201316
mean reward at round 335:110.48977842334506
mean reward at round 336:112.54227767253674
mean reward at round 337:108.89645018090037
mean reward at round 338:108.53090688960917
mean reward at round 339:125.52273713976166
mean reward at round 340:113.79767698730026
mean reward at round 341:117.12667132005205
mean reward at round 342:116.69611052586178
mean reward at round 343:119.9257244886911
mean reward at round 344:113.04518546952453
mean reward at round 345:109.33635736165895
mean reward at round 346:119.62425965877539
mean reward at round 347:114.63067426724828
mean reward at round 348:122.43446426554591
mean reward at round 349:112.02459445278028
mean reward at round 350:106.48569360183534
mean reward at round 351:128.1438761040991
mean reward at round 352:112.41805504398664
mean reward at round 353:115.74972742860032
mean reward at round 354:122.78521324704693
mean reward at round 355:123.47287471185176
mean reward at round 356:116.62321404441478
mean reward at round 357:117.1715786705516
mean reward at round 358:111.72274741026021
mean reward at round 359:107.46684081378706
mean reward at round 360:127.87882789883669
mean reward at round 361:107.70772476665587
mean reward at round 362:116.45675188626741
mean reward at round 363:106.2655143205859
mean reward at round 364:113.06129703308834
mean reward at round 365:115.21272245664767
mean reward at round 366:111.75995752926896
mean reward at round 367:114.22258677744426
mean reward at round 368:108.70284704935176
mean reward at round 369:117.44144704732422
mean reward at round 370:110.05850717786478
mean reward at round 371:104.2540422768489
mean reward at round 372:109.2753942034242
mean reward at round 373:102.99623040301874
mean reward at round 374:107.27914872807398
mean reward at round 375:102.61282990750615
mean reward at round 376:103.94122981569403
mean reward at round 377:106.26582934396365
mean reward at round 378:122.83136677831058
